ECellID,CellName,Longitude,Latitude,PCI,EARFCN,Azimuth
3230726,Rocky Lane | Sandrocks | RH16 4RQ,-0.1162256451322488,50.978008055365564,63,6175,39
3230727,Rocky Lane | Sandrocks | RH16 4RQ,-0.1162256451322488,50.978008055365564,233,6175,219
2527232,The Market Place | Burgess Hill | RH15 9NP,-0.1330376965576527,50.955208593747386,21,1392,359
2527233,The Market Place | Burgess Hill | RH15 9NP,-0.1330376965576527,50.955208593747386,22,1392,185
2527234,The Market Place | Burgess Hill | RH15 9NP,-0.1330376965576527,50.955208593747386,23,1392,187
2527303,The Market Place | Burgess Hill | RH15 9NP,-0.1330376965576527,50.955208593747386,48,99,179
2527304,The Market Place | Burgess Hill | RH15 9NP,-0.1330376965576527,50.955208593747386,49,99,177
2527305,The Market Place | Burgess Hill | RH15 9NP,-0.1330376965576527,50.955208593747386,50,99,188
2376192,Janes Lane | Burgess Hill | RH15 0QJ,-0.10805476826693225,50.96196581802235,375,1392,342
2376193,Janes Lane | Burgess Hill | RH15 0QJ,-0.10805476826693225,50.96196581802235,313,1392,25
2376194,Janes Lane | Burgess Hill | RH15 0QJ,-0.10805476826693225,50.96196581802235,83,1392,291
2376198,Janes Lane | Burgess Hill | RH15 0QJ,-0.10805476826693225,50.96196581802235,397,6175,30
2376199,Janes Lane | Burgess Hill | RH15 0QJ,-0.10805476826693225,50.96196581802235,116,6175,205
2376200,Janes Lane | Burgess Hill | RH15 0QJ,-0.10805476826693225,50.96196581802235,6,6175,280
1802246,Sunset Lane | Burgess Hill | RH15 9HR,-0.12710618274287472,50.94224447815668,198,6175,335
1802247,Sunset Lane | Burgess Hill | RH15 9HR,-0.12710618274287472,50.94224447815668,319,6175,112
1802248,Sunset Lane | Burgess Hill | RH15 9HR,-0.12710618274287472,50.94224447815668,59,6175,197
